Source,Country,ISO Code,Region,Variable,Unit,Service,Mode,Vehicle Type,Technology,Fuel,ID,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ATO2023 TAS-VEP-018,Indonesia,IDN,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46855,0.50472,0.539943,0.56849,0.651608,0.688525,0.595419,0.611402,0.62668,0.644667,0.66628,0.68055,0.714222,0.798079,0.933251,1.110255,1.350047,1.736087,2.059187,2.160973,2.250109,2.254406,1.945288,1.962921,1.979848,1.998032,2.003187,0.213359,0.222872,0.231569,0.233261,0.237566,
ATO2023 TAS-VEP-018,Japan,JPN,Japan,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.245844,0.247968,0.248412,0.247119,0.244611,0.242907,0.241844,0.239866,0.237146,0.235725,0.23555,0.234244,0.23318,0.231984,0.232,0.231696,0.231758,0.230981,0.229804,0.228295,0.226839,0.22627,0.226047,0.226542,0.227579,0.230603,0.232793,0.233542,0.232992,0.231051,0.222326,0.216416,
ATO2023 TAS-VEP-018,Kazakhstan,KAZ,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0542,0.054034,0.0551,0.0562,0.0548,0.054006,0.0492,0.0462,0.044295,0.043421,0.045666,0.050162,0.051367,0.061391,0.063,0.065698,0.075042,0.083372,0.0892,0.0948,0.094,0.0984,0.0973,0.101,0.09895,0.097688,0.098652,0.09043,0.089291,0.086613,0.083581,0.082,
ATO2023 TAS-VEP-018,Kiribati,KIR,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-VEP-018,Kyrgyz Republic,KGZ,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-VEP-018,Lao People's Democratic Republic,LAO,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002179,0.001279,0.001522,0.002242,0.00252,0.002707,0.002825,0.002752,0.00343,0.003865,0.00412,0.004448,0.004665,0.005018,0.005274,0.005649,0.00579,0.006279,
ATO2023 TAS-VEP-018,Malaysia,MYS,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051158,0.052846,0.054997,0.05737,0.059991,0.062308,0.06405,0.066581,0.069149,0.071784,0.073536,0.062784,,,0.183989,0.165489,0.173921,0.181685,0.184474,,
ATO2023 TAS-VEP-018,Maldives,MDV,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000596,0.000372,0.000426,0.00048,0.000549,0.000701,0.000871,0.000996,0.001042,0.000923,0.000995,0.001041,0.001117,0.001223,0.001357,0.001486,0.001614,0.001747,,,,
ATO2023 TAS-VEP-018,Marshall Islands,MHL,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3e-05,5.3e-05,3.7e-05,5.9e-05,5.7e-05,,,,,,,,,,,,,,
ATO2023 TAS-VEP-018,Micronesia (Federated States of),FSM,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00013,0.000117,0.000103,9.8e-05,9.9e-05,8.8e-05,8.4e-05,4.5e-05,7.9e-05,9.1e-05,,,
ATO2023 TAS-VEP-018,Mongolia,MNG,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005584,0.005978,0.006207,0.006474,0.006823,0.006859,0.006501,0.019535,0.036084,0.034073,
ATO2023 TAS-VEP-018,Myanmar,MMR,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017779,0.017973,0.018038,0.018857,0.019291,0.019683,0.019807,0.020944,0.019579,0.019812,0.022151,0.026746,0.025937,0.026801,0.02801,0.030647,0.029417,,
ATO2023 TAS-VEP-018,Niue,NIU,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3e-05,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-VEP-018,Nauru,NRU,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-VEP-018,Nepal,NPL,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-VEP-018,New Zealand,NZL,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004465,0.004758,0.005164,0.005543,0.005978,0.006319,0.00658,0.007046,0.007523,0.007892,0.008033,0.008141,0.008267,0.008522,0.008745,0.008973,0.009588,0.010103,0.010885,0.011156,0.011214,0.011412,
ATO2023 TAS-VEP-018,Pakistan,PAK,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.119365,0.125929,0.150108,0.154401,0.161507,0.155555,0.165846,0.166136,0.168713,0.175589,0.184368,0.187367,0.195163,0.19879,0.202476,0.215374,0.220347,0.224403,0.22929,0.235614,0.242194,0.249198,0.253996,0.255409,,
ATO2023 TAS-VEP-018,Palau,PLW,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
