sector,subsector,technology,input,Mode,Technology,Fuel,service,service_unit
trn_pass_road_LDV_4W,Large Car and SUV,FCEV,H2 Enduse,LDV,Hydrogen,Hydrogen,pkm,bn pkm/yr
trn_pass_road_LDV_4W,Light Truck and SUV,Liquids,refined liquids enduse,LDV,Liquids,Total Liquids,pkm,bn pkm/yr
trn_pass_road_LDV_4W,Light Truck and SUV,Hybrid Liquids,refined liquids enduse,LDV,Liquids,Total Liquids,pkm,bn pkm/yr
trn_pass_road_LDV_4W,Light Truck and SUV,NG,delivered gas,LDV,NG,Natural Gas,pkm,bn pkm/yr
trn_pass_road_LDV_4W,Light Truck and SUV,BEV,elect_td_trn,LDV,Electric,Electricity,pkm,bn pkm/yr
trn_pass_road_LDV_4W,Light Truck and SUV,FCEV,H2 Enduse,LDV,Hydrogen,Hydrogen,pkm,bn pkm/yr
trn_pass_road_LDV_2W,Moped,Liquids,refined liquids enduse,2W and 3W,Liquids,Total Liquids,pkm,bn pkm/yr
trn_pass_road_LDV_2W,Moped,BEV,elect_td_trn,2W and 3W,Electric,Electricity,pkm,bn pkm/yr
trn_pass_road_LDV_2W,Scooter,Liquids,refined liquids enduse,2W and 3W,Liquids,Total Liquids,pkm,bn pkm/yr
trn_pass_road_LDV_2W,Scooter,BEV,elect_td_trn,2W and 3W,Electric,Electricity,pkm,bn pkm/yr
trn_pass_road_LDV_2W,Motorcycle (50-250cc),Liquids,refined liquids enduse,2W and 3W,Liquids,Total Liquids,pkm,bn pkm/yr
trn_pass_road_LDV_2W,Motorcycle (50-250cc),BEV,elect_td_trn,2W and 3W,Electric,Electricity,pkm,bn pkm/yr
trn_pass_road_LDV_2W,Motorcycle (50-250cc),LA-BEV,elect_td_trn,2W and 3W,Electric,Electricity,pkm,bn pkm/yr
trn_pass_road_LDV_2W,Motorcycle (>250cc),Liquids,refined liquids enduse,2W and 3W,Liquids,Total Liquids,pkm,bn pkm/yr
trn_pass_road_LDV_2W,Motorcycle (>250cc),BEV,elect_td_trn,2W and 3W,Electric,Electricity,pkm,bn pkm/yr
trn_pass_road_LDV,Three-Wheeler,Liquids,refined liquids enduse,2W and 3W,Liquids,Total Liquids,pkm,bn pkm/yr
trn_pass_road_LDV,Three-Wheeler,NG,delivered gas,2W and 3W,NG,Natural Gas,pkm,bn pkm/yr
trn_freight,Freight Rail,Liquids,refined liquids enduse,Freight Rail,Liquids,Total Liquids,tkm,bn tkm/yr
trn_freight,Freight Rail,Electric,elect_td_trn,Freight Rail,Electric,Electricity,tkm,bn tkm/yr
trn_freight,Freight Rail,Adv-Liquid,refined liquids enduse,Freight Rail,Liquids,Total Liquids,tkm,bn tkm/yr
trn_freight,Freight Rail,Adv-Electric,elect_td_trn,Freight Rail,Electric,Electricity,tkm,bn tkm/yr
trn_freight,Freight Rail,Coal,delivered coal,Freight Rail,Coal,Coal,tkm,bn tkm/yr
trn_freight_road,Truck (0-2.7t),Liquids,refined liquids enduse,HDT,Liquids,Total Liquids,tkm,bn tkm/yr
trn_freight_road,Truck (0-2.7t),NG,delivered gas,HDT,NG,Natural Gas,tkm,bn tkm/yr
trn_freight_road,Truck (2.7-4.5t),Liquids,refined liquids enduse,HDT,Liquids,Total Liquids,tkm,bn tkm/yr
trn_freight_road,Truck (2.7-4.5t),NG,delivered gas,HDT,NG,Natural Gas,tkm,bn tkm/yr
trn_freight_road,Truck (4.5-12t),Liquids,refined liquids enduse,HDT,Liquids,Total Liquids,tkm,bn tkm/yr
trn_freight_road,Truck (4.5-12t),NG,delivered gas,HDT,NG,Natural Gas,tkm,bn tkm/yr
trn_freight_road,Truck (>12t),Liquids,refined liquids enduse,HDT,Liquids,Total Liquids,tkm,bn tkm/yr
trn_freight_road,Truck (>12t),NG,delivered gas,HDT,NG,Natural Gas,tkm,bn tkm/yr
trn_freight_road,Truck (0-4.5t),Liquids,refined liquids enduse,HDT,Liquids,Total Liquids,tkm,bn tkm/yr
trn_freight_road,Truck (0-4.5t),NG,delivered gas,HDT,NG,Natural Gas,tkm,bn tkm/yr
trn_freight_road,Truck (4.5-15t),Liquids,refined liquids enduse,HDT,Liquids,Total Liquids,tkm,bn tkm/yr
trn_freight_road,Truck (4.5-15t),NG,delivered gas,HDT,NG,Natural Gas,tkm,bn tkm/yr
trn_freight_road,Truck (>15t),Liquids,refined liquids enduse,HDT,Liquids,Total Liquids,tkm,bn tkm/yr
trn_freight_road,Truck (>15t),NG,delivered gas,HDT,NG,Natural Gas,tkm,bn tkm/yr
trn_freight_road,Truck (0-3.5t),Liquids,refined liquids enduse,HDT,Liquids,Total Liquids,tkm,bn tkm/yr
trn_freight_road,Truck (0-3.5t),NG,delivered gas,HDT,NG,Natural Gas,tkm,bn tkm/yr
trn_freight_road,Truck (3.5-16t),Liquids,refined liquids enduse,HDT,Liquids,Total Liquids,tkm,bn tkm/yr
trn_freight_road,Truck (3.5-16t),NG,delivered gas,HDT,NG,Natural Gas,tkm,bn tkm/yr
trn_freight_road,Truck (16-32t),Liquids,refined liquids enduse,HDT,Liquids,Total Liquids,tkm,bn tkm/yr
trn_freight_road,Truck (16-32t),NG,delivered gas,HDT,NG,Natural Gas,tkm,bn tkm/yr
trn_freight_road,Truck (>32t),Liquids,refined liquids enduse,HDT,Liquids,Total Liquids,tkm,bn tkm/yr
trn_freight_road,Truck (>32t),NG,delivered gas,HDT,NG,Natural Gas,tkm,bn tkm/yr
trn_freight_road,Truck (0-2t),Liquids,refined liquids enduse,HDT,Liquids,Total Liquids,tkm,bn tkm/yr
trn_freight_road,Truck (0-2t),NG,delivered gas,HDT,NG,Natural Gas,tkm,bn tkm/yr
trn_freight_road,Truck (2-5t),Liquids,refined liquids enduse,HDT,Liquids,Total Liquids,tkm,bn tkm/yr
trn_freight_road,Truck (2-5t),NG,delivered gas,HDT,NG,Natural Gas,tkm,bn tkm/yr
trn_freight_road,Truck (5-9t),Liquids,refined liquids enduse,HDT,Liquids,Total Liquids,tkm,bn tkm/yr
trn_freight_road,Truck (5-9t),NG,delivered gas,HDT,NG,Natural Gas,tkm,bn tkm/yr
