GHG,GWP
CF4,7.39
C2F6,12.2
CO2,3.6666
HFC125,3.5
HFC134a,1.43
HFC143a,4.47
CH4,25
HFC152a,0.124
HFC227ea,3.22
HFC23,14.8
HFC236fa,9.81
HFC245fa,1.03
HFC32,0.675
HFC365mfc,0.794
HFC43,1.64
N2O,298
SF6,22.8
