"Mode","Technology","Fuel","Variable"
"2W and 3W","PHEV","Electricity","ttw_co2"
"Aviation","Hydrogen","Hydrogen","ttw_co2"
"Bus","Electric","Electricity","ttw_co2"
"Bus","Hydrogen","Hydrogen","ttw_co2"
"Bus","PHEV","Fossil Liquids","ttw_co2"
"Bus","PHEV","Biomass Liquids","ttw_co2"
"Bus","PHEV","Electricity","ttw_co2"
"Domestic Shipping","Hydrogen","Hydrogen","ttw_co2"
"Domestic Shipping","NG","Natural Gas","ttw_co2"
"Freight Rail and Air and Ship","Coal","Coal","ttw_co2"
"Freight Rail and Air and Ship","Liquids","Fossil Liquids","ttw_co2"
"Freight Rail and Air and Ship","Liquids","Biomass Liquids","ttw_co2"
"Freight Rail and Air and Ship","Electric","Electricity","ttw_co2"
"Freight Rail and Air and Ship","Hydrogen","Hydrogen","ttw_co2"
"Freight Rail and Air and Ship","NG","Natural Gas","ttw_co2"
"Freight Rail","Hydrogen","Hydrogen","ttw_co2"
"Freight Rail","NG","Natural Gas","ttw_co2"
"HDT","Hydrogen","Hydrogen","ttw_co2"
"HDT","PHEV","Fossil Liquids","ttw_co2"
"HDT","PHEV","Biomass Liquids","ttw_co2"
"HDT","PHEV","Electricity","ttw_co2"
"International Shipping","Hydrogen","Hydrogen","ttw_co2"
"International Shipping","NG","Natural Gas","ttw_co2"
"LDV","PHEV","Fossil Liquids","ttw_co2"
"LDV","PHEV","Biomass Liquids","ttw_co2"
"LDV","PHEV","Electricity","ttw_co2"
"Passenger Rail","Hydrogen","Hydrogen","ttw_co2"
"Passenger Rail","NG","Natural Gas","ttw_co2"
"2W and 3W","Liquids","Fossil Liquids","ttw_pm2.5"
"2W and 3W","Liquids","Biomass Liquids","ttw_pm2.5"
"2W and 3W","Electric","Electricity","ttw_pm2.5"
"2W and 3W","Hydrogen","Hydrogen","ttw_pm2.5"
"2W and 3W","NG","Natural Gas","ttw_pm2.5"
"2W and 3W","PHEV","Fossil Liquids","ttw_pm2.5"
"2W and 3W","PHEV","Biomass Liquids","ttw_pm2.5"
"2W and 3W","PHEV","Electricity","ttw_pm2.5"
"Aviation","Liquids","Fossil Liquids","ttw_pm2.5"
"Aviation","Liquids","Biomass Liquids","ttw_pm2.5"
"Aviation","Hydrogen","Hydrogen","ttw_pm2.5"
"Bus","Liquids","Fossil Liquids","ttw_pm2.5"
"Bus","Liquids","Biomass Liquids","ttw_pm2.5"
"Bus","Electric","Electricity","ttw_pm2.5"
"Bus","Hydrogen","Hydrogen","ttw_pm2.5"
"Bus","NG","Natural Gas","ttw_pm2.5"
"Bus","PHEV","Fossil Liquids","ttw_pm2.5"
"Bus","PHEV","Biomass Liquids","ttw_pm2.5"
"Bus","PHEV","Electricity","ttw_pm2.5"
"Domestic Shipping","Liquids","Fossil Liquids","ttw_pm2.5"
"Domestic Shipping","Liquids","Biomass Liquids","ttw_pm2.5"
"Domestic Shipping","Hydrogen","Hydrogen","ttw_pm2.5"
"Domestic Shipping","NG","Natural Gas","ttw_pm2.5"
"Freight Rail and Air and Ship","Coal","Coal","ttw_pm2.5"
"Freight Rail and Air and Ship","Liquids","Fossil Liquids","ttw_pm2.5"
"Freight Rail and Air and Ship","Liquids","Biomass Liquids","ttw_pm2.5"
"Freight Rail and Air and Ship","Electric","Electricity","ttw_pm2.5"
"Freight Rail and Air and Ship","Hydrogen","Hydrogen","ttw_pm2.5"
"Freight Rail and Air and Ship","NG","Natural Gas","ttw_pm2.5"
"Freight Rail","Coal","Coal","ttw_pm2.5"
"Freight Rail","Liquids","Fossil Liquids","ttw_pm2.5"
"Freight Rail","Liquids","Biomass Liquids","ttw_pm2.5"
"Freight Rail","Electric","Electricity","ttw_pm2.5"
"Freight Rail","Hydrogen","Hydrogen","ttw_pm2.5"
"Freight Rail","NG","Natural Gas","ttw_pm2.5"
"HDT","Liquids","Fossil Liquids","ttw_pm2.5"
"HDT","Liquids","Biomass Liquids","ttw_pm2.5"
"HDT","Electric","Electricity","ttw_pm2.5"
