# Source: 2010 year from 2012 edition of IEA energy balances
# Composite regions (Other Africa, Other Latin America, Other Asia) downscaled to the countries on the basis of population
# Middle East nations rail energy re-set from 0 to values shown assuming 2 tonnes of fuel per km of rail per year
iso,FLOW,PRODUCT,value
svk,ROAD,Total of all energy sources,2131
svk,RAIL,Total of all energy sources,40
esp,MARBUNK,Total of all energy sources,8337
esp,AVBUNK,Total of all energy sources,3044
esp,DOMESAIR,Total of all energy sources,2353
esp,ROAD,Total of all energy sources,29539
esp,RAIL,Total of all energy sources,898
esp,DOMESNAV,Total of all energy sources,1050
swe,MARBUNK,Total of all energy sources,1938
swe,AVBUNK,Total of all energy sources,689
swe,DOMESAIR,Total of all energy sources,154
swe,ROAD,Total of all energy sources,7264
swe,RAIL,Total of all energy sources,208
swe,DOMESNAV,Total of all energy sources,187
che,MARBUNK,Total of all energy sources,10
che,AVBUNK,Total of all energy sources,1404
che,DOMESAIR,Total of all energy sources,63
che,ROAD,Total of all energy sources,5675
che,RAIL,Total of all energy sources,284
che,DOMESNAV,Total of all energy sources,9
tur,MARBUNK,Total of all energy sources,369
tur,AVBUNK,Total of all energy sources,1216
tur,DOMESAIR,Total of all energy sources,413
tur,ROAD,Total of all energy sources,13256
tur,RAIL,Total of all energy sources,175
tur,DOMESNAV,Total of all energy sources,597
gbr,MARBUNK,Total of all energy sources,2094
gbr,AVBUNK,Total of all energy sources,10732
gbr,DOMESAIR,Total of all energy sources,707
gbr,ROAD,Total of all energy sources,38233
gbr,RAIL,Total of all energy sources,951
gbr,DOMESNAV,Total of all energy sources,1371
usa,MARBUNK,Total of all energy sources,26010
usa,AVBUNK,Total of all energy sources,21814
usa,DOMESAIR,Total of all energy sources,49193
usa,ROAD,Total of all energy sources,505168
usa,RAIL,Total of all energy sources,9210
usa,DOMESNAV,Total of all energy sources,3535
alb,AVBUNK,Total of all energy sources,18
alb,ROAD,Total of all energy sources,729
alb,RAIL,Total of all energy sources,3
alb,DOMESNAV,Total of all energy sources,10
dza,MARBUNK,Total of all energy sources,316
dza,AVBUNK,Total of all energy sources,497
dza,DOMESAIR,Total of all energy sources,425
dza,ROAD,Total of all energy sources,9892
dza,RAIL,Total of all energy sources,83
dza,DOMESNAV,Total of all energy sources,0
ago,MARBUNK,Total of all energy sources,174
ago,AVBUNK,Total of all energy sources,210
ago,DOMESAIR,Total of all energy sources,232
ago,ROAD,Total of all energy sources,2286
ago,DOMESNAV,Total of all energy sources,13
arg,MARBUNK,Total of all energy sources,1180
arg,AVBUNK,Total of all energy sources,659
arg,DOMESAIR,Total of all energy sources,444
arg,ROAD,Total of all energy sources,13757
arg,RAIL,Total of all energy sources,58
arg,DOMESNAV,Total of all energy sources,338
bhr,MARBUNK,Total of all energy sources,72
bhr,AVBUNK,Total of all energy sources,665
bhr,DOMESAIR,Total of all energy sources,14
bhr,ROAD,Total of all energy sources,1215
bgd,MARBUNK,Total of all energy sources,35
bgd,AVBUNK,Total of all energy sources,168
bgd,ROAD,Total of all energy sources,2346
bgd,RAIL,Total of all energy sources,270
bgd,DOMESNAV,Total of all energy sources,365
ben,AVBUNK,Total of all energy sources,159
ben,ROAD,Total of all energy sources,1060
ben,RAIL,Total of all energy sources,1
bol,AVBUNK,Total of all energy sources,47
bol,DOMESAIR,Total of all energy sources,92
bol,ROAD,Total of all energy sources,2264
bol,RAIL,Total of all energy sources,0
bwa,AVBUNK,Total of all energy sources,17
bwa,DOMESAIR,Total of all energy sources,2
bwa,ROAD,Total of all energy sources,666
bwa,RAIL,Total of all energy sources,9
bra,MARBUNK,Total of all energy sources,3964
bra,AVBUNK,Total of all energy sources,1949
bra,DOMESAIR,Total of all energy sources,3240
bra,ROAD,Total of all energy sources,63859
bra,RAIL,Total of all energy sources,1063
bra,DOMESNAV,Total of all energy sources,1379
brn,AVBUNK,Total of all energy sources,111
brn,ROAD,Total of all energy sources,395
bgr,MARBUNK,Total of all energy sources,96
bgr,AVBUNK,Total of all energy sources,167
bgr,DOMESAIR,Total of all energy sources,15
bgr,ROAD,Total of all energy sources,2491
bgr,RAIL,Total of all energy sources,45
bgr,DOMESNAV,Total of all energy sources,0
khm,AVBUNK,Total of all energy sources,26
khm,DOMESAIR,Total of all energy sources,6
khm,ROAD,Total of all energy sources,513
khm,RAIL,Total of all energy sources,82
khm,DOMESNAV,Total of all energy sources,29
cmr,MARBUNK,Total of all energy sources,44
cmr,AVBUNK,Total of all energy sources,69
cmr,DOMESAIR,Total of all energy sources,16
cmr,ROAD,Total of all energy sources,850
cmr,RAIL,Total of all energy sources,16
cmr,DOMESNAV,Total of all energy sources,5
chn,MARBUNK,Total of all energy sources,8630
chn,AVBUNK,Total of all energy sources,5527
chn,DOMESAIR,Total of all energy sources,11294
chn,ROAD,Total of all energy sources,141465
chn,RAIL,Total of all energy sources,12022
chn,DOMESNAV,Total of all energy sources,16103
twn,MARBUNK,Total of all energy sources,1708
twn,AVBUNK,Total of all energy sources,2109
twn,DOMESAIR,Total of all energy sources,82
twn,ROAD,Total of all energy sources,11682
twn,RAIL,Total of all energy sources,128
